07H00408;BATALLON CAYAMBE NÃšMERO 3;163;13;1;1;1;70250;Presencial;Matutina
07H00419;CORAZON DE JESUS;33;11;1;2;1;70250;Presencial;Vespertina
07H00404;ONCE DE NOVIEMBRE;325;19;1;1;1;70250;Presencial;Matutina
07H00412;ASAAD BUCARAM;118;20;1;1;1;70250;Presencial;Nocturna
07H01432;BIMOT 1  CONSTITUCIÃ“N;18;1;1;1;2;70250;Presencial;Nocturna
07H01291;KLEBER TINOCO PINEDA;66;9;1;1;3;70250;Presencial y Semipresencial;Matutina y Vespertina
07H01305;LAS BRISAS;96;4;1;1;1;70250;Presencial;Matutina
07H01306;CENTRO DE FORMACION ARTESANAL ARENILLAS;301;17;1;1;2;70250;Presencial;Nocturna
07H01309;25 DE DICIEMBRE;54;3;1;1;1;70250;Presencial;Matutina
07H00397;AMAZONAS;121;5;1;1;1;70250;Presencial;Matutina
07H00400;CIUDAD DE ARENILLAS;465;15;1;1;1;70250;Presencial;Matutina
07H00401;ALBERT EINSTEIN;138;14;1;2;1;70250;Presencial;Matutina
07H00403;SANTO TOMAS DE AQUINO;229;20;1;2;1;70250;Presencial;Matutina y Vespertina
07H00409;9 DE OCTUBRE;23;2;1;1;1;70250;Presencial;Matutina
07H00411;ARENILLAS;1396;55;1;1;1;70250;Presencial;Matutina y Nocturna
07H00413;BATALLON DE INFANTERIA N 38 AMBATO;21;1;1;1;1;70250;Presencial;Matutina
07H00415;18 DE NOVIEMBRE;158;11;1;1;1;70250;Presencial;Matutina
07H00416;JUAN MONTALVO;407;20;1;1;1;70250;Presencial;Matutina
07H00417;CIUDAD DE QUITO;336;18;1;1;1;70250;Presencial;Matutina
07H00418;ARISTIDES CORDOVA VILLACIS;41;5;1;1;1;70250;Presencial;Matutina
07H00420;UNION Y  PROGRESO;4;1;1;1;1;70250;Presencial;Matutina
07H00422;CRNL FELIX HUMBERTO PINEDA CORREA;109;6;1;1;1;70250;Presencial;Matutina
07H00428;MONS LEONIDAS PROAÃ‘O VILLALBA;151;6;1;1;1;70250;Presencial;Matutina
07H00431;NAPOLEON PALADINES CARREÃ‘O;45;5;1;1;1;70250;Presencial;Matutina
07H00432;MAYOR HECTOR ESPINOZA;47;5;1;1;1;70250;Presencial;Matutina
07H00436;CONSTITUCION;141;8;1;1;1;70250;Presencial;Matutina
07H00437;ING. RAFAEL GUERRERO;12;2;1;1;1;70250;Presencial;Matutina
07H00410;DR CAMILO GALLEGOS DOMINGUEZ;613;30;1;1;1;70250;Presencial;Matutina y Vespertina
07H01424;TAHUIN CHICO;11;1;1;1;2;70254;Presencial;Vespertina
07H00445;5 DE JUNIO;14;2;1;1;1;70254;Presencial;Matutina
07H00440;RUMIÃ‘AHUI;120;12;1;1;1;70251;Presencial;Matutina
07H00441;SOLDADO JOSE DIAZ;187;10;1;1;1;70251;Presencial;Matutina
07H00442;SIMON BOLIVAR;46;3;1;1;1;70251;Presencial;Matutina
07H00456;JOSE MARIA MEJIA LEQUERICA;315;18;1;1;1;70254;Presencial;Matutina
07H00458;MAYOR GALO MOLINA;63;4;1;1;1;70254;Presencial;Matutina
07H00462;MAYOR  MANUEL ANTONIO ROSERO;46;3;1;1;1;70254;Presencial;Matutina
07H00464;ZOILA ESPERANZA CRESPO;29;4;1;1;1;70255;Presencial;Matutina
07H00466;JESUS MARIA YEPEZ;48;5;1;1;1;70255;Presencial;Matutina
